faculdade,estado,link
FIPE,SP,https://twitter.com/OrbitsBrasil/status/1567315628721164288/photo/4
UFRJ,RJ,https://twitter.com/OrbitsBrasil/status/1567315881612419076
PUCRS,RS,https://twitter.com/OrbitsBrasil/status/1567316490826776578/photo/1
PUCRS,RS,https://twitter.com/OrbitsBrasil/status/1567316490826776578/photo/2
PUCRS,RS,https://twitter.com/OrbitsBrasil/status/1567316490826776578/photo/3
PUCRS,RS,https://twitter.com/OrbitsBrasil/status/1567316490826776578/photo/4
UFG,GO,https://twitter.com/OrbitsBrasil/status/1570489527063707649/photo/1
UFG,GO,https://twitter.com/OrbitsBrasil/status/1570489527063707649/photo/2
UFG,GO,https://twitter.com/OrbitsBrasil/status/1570489527063707649/photo/3
UFF,RJ,https://twitter.com/OrbitsBrasil/status/1570489527063707649/photo/4
IFNMG,MG,https://twitter.com/OrbitsBrasil/status/1570490208994590721/photo/1
IFNMG,MG,https://twitter.com/OrbitsBrasil/status/1570490208994590721/photo/2
UAM,SP,https://twitter.com/OrbitsBrasil/status/1570490208994590721/photo/3
UNIT,AL,https://twitter.com/OrbitsBrasil/status/1570490208994590721/photo/4
UFRO,RO,https://twitter.com/OrbitsBrasil/status/1570491102519754752/photo/1
UEA,AM,https://twitter.com/OrbitsBrasil/status/1570491102519754752/photo/2
UEA,AM,https://twitter.com/OrbitsBrasil/status/1570491102519754752/photo/3
UECE,CE,https://twitter.com/OrbitsBrasil/status/1570491773520326656/photo/1
UFRRJ,RJ,https://twitter.com/OrbitsBrasil/status/1570491773520326656/photo/2
UEFS,BA,https://twitter.com/OrbitsBrasil/status/1570491773520326656/photo/3
IFMA ,MA,https://twitter.com/OrbitsBrasil/status/1570491773520326656/photo/4
IFMS,MS,https://twitter.com/OrbitsBrasil/status/1570494179155021826/photo/1
IFMS,MS,https://twitter.com/OrbitsBrasil/status/1570494179155021826/photo/2
IFMA ,MA,https://twitter.com/OrbitsBrasil/status/1570494179155021826/photo/3
IFMA ,MA,https://twitter.com/OrbitsBrasil/status/1570494179155021826/photo/4
UNESP,SP,https://twitter.com/OrbitsBrasil/status/1570495161666523137/photo/1
UFAM,AM,https://twitter.com/OrbitsBrasil/status/1570495161666523137/photo/2
UFRRJ,RJ,https://twitter.com/OrbitsBrasil/status/1570495161666523137/photo/3
USP,SP,https://twitter.com/OrbitsBrasil/status/1570495161666523137/photo/4
UFMG,MG,https://twitter.com/OrbitsBrasil/status/1570398275894759426
UFAM,AM,https://twitter.com/luarderaposa/status/1583133714447761408?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UEA,AM,https://twitter.com/NINGLAMOUR/status/1560601008602025985?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFBA,BA,https://twitter.com/Berthissima/status/1562077504860454912?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFC,CE,https://twitter.com/Patricksampaio0/status/1576211906443980801
USP,SP,https://twitter.com/_carloscsg/status/1576227964278431745
UFPE,PE,https://twitter.com/replicantkk/status/1576539702806863873?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFES,ES,https://twitter.com/GabsFerreirinha/status/1576272015140753408?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFMT,MT,https://twitter.com/Insuportaina/status/1576228593688248320?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFRRJ,RJ,https://twitter.com/Aisha_Martins24/status/1576321148224036864?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
PUCRS,RS,https://twitter.com/amiraclealigner/status/1576226949575643137?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFF,RJ,https://twitter.com/dudaborel/status/1576273309284847618?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFPR,PR,https://twitter.com/browlisa12/status/1576348975417872384?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFAL,AL,https://twitter.com/armyverse9/status/1576366727855624193?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFRJ,RJ,https://twitter.com/torredebatalha/status/1571983733342801922?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFJF,MG,https://twitter.com/larababu/status/1575584725455892480?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFRGS,RS,https://twitter.com/changeunbi/status/1560813331618975745?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFMT,MT,https://twitter.com/luketelindo/status/1560041711950233606?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UFF,RJ,https://twitter.com/venusmyg/status/1578428063993430022?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
UNIVERSO,GO,https://twitter.com/shotarobicha/status/1585285460653490177?s=20&t=bxVLiHhCDZHl5pZKLtZ56Q
